Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,3.240000,3.280000,3.220000,3.250000,2.847155,79545
2015-01-05,3.260000,3.280000,3.240000,3.270000,2.864676,217468
2015-01-06,3.260000,3.260000,3.220000,3.250000,2.847155,164828
2015-01-07,3.280000,3.290000,3.240000,3.290000,2.882197,723089
2015-01-08,3.300000,3.370000,3.290000,3.340000,2.925999,605796
2015-01-09,3.480000,3.490000,2.950000,3.070000,2.689466,1911583
2015-01-12,3.080000,3.080000,2.790000,2.840000,2.487975,1272634
2015-01-13,2.760000,3.070000,2.700000,3.010000,2.636904,1821925
2015-01-14,3.030000,3.030000,2.900000,2.910000,2.549299,667830
2015-01-15,2.910000,2.950000,2.800000,2.830000,2.479215,547189
2015-01-16,2.830000,2.830000,2.760000,2.760000,2.417892,432542
2015-01-19,2.880000,2.890000,2.620000,2.720000,2.382850,321543
2015-01-20,2.700000,2.860000,2.680000,2.820000,2.470455,296779
2015-01-21,2.820000,2.980000,2.820000,2.900000,2.540538,218314
2015-01-22,2.880000,2.900000,2.830000,2.860000,2.505496,118672
2015-01-23,2.870000,2.930000,2.870000,2.900000,2.540538,104138
2015-01-27,2.920000,2.930000,2.850000,2.870000,2.514257,148640
2015-01-28,2.930000,2.930000,2.860000,2.860000,2.505496,118120
2015-01-29,2.900000,2.900000,2.840000,2.860000,2.505496,1084001
2015-01-30,2.870000,3.000000,2.850000,3.000000,2.628143,249416
2015-02-02,2.970000,3.040000,2.920000,2.950000,2.584341,506420
2015-02-03,2.950000,3.090000,2.940000,3.020000,2.645664,298234
2015-02-04,3.020000,3.080000,2.980000,3.050000,2.671945,622566
2015-02-05,3.050000,3.070000,3.000000,3.050000,2.671945,105383
2015-02-06,3.040000,3.060000,3.025000,3.050000,2.671945,115689
2015-02-09,3.050000,3.060000,3.030000,3.050000,2.671945,127638
2015-02-10,3.050000,3.090000,3.030000,3.060000,2.680706,275977
2015-02-11,3.060000,3.220000,3.050000,3.180000,2.785832,405582
2015-02-12,3.200000,3.250000,3.190000,3.230000,2.829634,324651
2015-02-13,3.240000,3.285000,3.210000,3.260000,2.855916,136827
2015-02-16,3.280000,3.330000,3.260000,3.270000,2.864676,419803
2015-02-17,3.290000,3.300000,3.260000,3.260000,2.855916,166081
2015-02-18,3.290000,3.340000,3.260000,3.290000,2.882197,346437
2015-02-19,3.290000,3.295000,3.270000,3.280000,2.873436,111841
2015-02-20,3.280000,3.280000,3.260000,3.260000,2.855916,210166
2015-02-23,3.270000,3.320000,3.230000,3.280000,2.873436,282893
2015-02-24,3.300000,3.320000,3.260000,3.300000,2.890957,195797
2015-02-25,3.300000,3.330000,3.270000,3.300000,2.890957,286957
2015-02-26,3.650000,4.000000,3.600000,3.800000,3.328982,921209
2015-02-27,3.910000,4.040000,3.910000,4.020000,3.521712,1722290
2015-03-02,4.060000,4.180000,4.020000,4.040000,3.539233,702577
2015-03-03,4.060000,4.090000,3.990000,4.000000,3.504191,265625
2015-03-04,3.990000,3.990000,3.910000,3.930000,3.442868,596219
2015-03-05,3.920000,4.000000,3.880000,4.000000,3.504191,443805
2015-03-06,3.990000,4.000000,3.920000,3.990000,3.495430,316343
2015-03-09,3.900000,4.020000,3.890000,3.960000,3.469149,276326
2015-03-10,3.980000,4.020000,3.960000,3.980000,3.486670,234284
2015-03-11,3.970000,3.990000,3.920000,3.970000,3.477909,420810
2015-03-12,3.990000,4.170000,3.970000,4.150000,3.635598,747544
2015-03-13,4.180000,4.200000,4.080000,4.190000,3.670641,353140
2015-03-16,4.200000,4.500000,4.190000,4.360000,3.819568,548363
2015-03-17,4.390000,4.430000,4.360000,4.400000,3.854610,369433
2015-03-18,4.450000,4.450000,4.180000,4.340000,3.802047,592750
2015-03-19,4.350000,4.380000,4.190000,4.270000,3.740723,347453
2015-03-20,4.300000,4.450000,4.290000,4.370000,3.828328,1952274
2015-03-23,4.400000,4.440000,4.360000,4.390000,3.917567,348948
2015-03-24,4.390000,4.460000,4.390000,4.430000,3.953261,457250
2015-03-25,4.420000,4.440000,4.380000,4.440000,3.962186,209002
2015-03-26,4.410000,4.460000,4.360000,4.370000,3.899719,196797
2015-03-27,4.320000,4.320000,4.280000,4.320000,3.855100,232772
2015-03-30,4.320000,4.340000,4.280000,4.310000,3.846175,79880
