Date,Open,High,Low,Close,Adj Close,Volume
2016-04-08,1.695000,1.695000,1.670000,1.690000,1.624436,37902
2016-04-11,1.680000,1.800000,1.680000,1.700000,1.634048,567679
2016-04-12,1.755000,1.755000,1.710000,1.710000,1.643661,246034
2016-04-13,1.720000,1.720000,1.675000,1.680000,1.614824,145061
2016-04-14,1.700000,1.730000,1.680000,1.700000,1.634048,162638
2016-04-15,1.715000,1.750000,1.715000,1.740000,1.672497,27940
2016-04-18,1.740000,1.740000,1.700000,1.700000,1.634048,141182
2016-04-19,1.740000,1.760000,1.690000,1.740000,1.672497,148407
2016-04-20,1.770000,1.815000,1.730000,1.780000,1.710945,361771
2016-04-21,1.800000,1.860000,1.785000,1.850000,1.778229,201012
2016-04-22,1.850000,1.930000,1.830000,1.900000,1.826289,226783
2016-04-26,1.950000,1.950000,1.860000,1.865000,1.792647,219644
2016-04-27,1.860000,1.865000,1.750000,1.800000,1.730169,91184
2016-04-28,1.820000,1.875000,1.810000,1.850000,1.778229,88906
2016-04-29,1.880000,1.880000,1.765000,1.830000,1.759005,63037
2016-05-02,1.820000,1.880000,1.800000,1.850000,1.778229,111108
2016-05-03,1.850000,1.855000,1.825000,1.835000,1.763811,203195
2016-05-04,1.830000,1.850000,1.800000,1.825000,1.754199,61707
2016-05-05,1.870000,1.935000,1.865000,1.900000,1.826289,230232
2016-05-06,1.890000,1.940000,1.855000,1.940000,1.864738,286730
2016-05-09,1.950000,1.970000,1.940000,1.950000,1.874350,170914
2016-05-10,1.960000,1.975000,1.950000,1.975000,1.898380,180986
2016-05-11,1.990000,2.080000,1.980000,2.010000,1.932022,301261
2016-05-12,2.010000,2.050000,1.960000,1.970000,1.893574,68334
2016-05-13,1.970000,1.990000,1.955000,1.990000,1.912798,147931
2016-05-16,2.000000,2.010000,1.960000,1.960000,1.883962,59694
2016-05-17,1.990000,2.040000,1.970000,2.000000,1.922410,108365
2016-05-18,2.020000,2.020000,1.905000,1.920000,1.845514,135107
2016-05-19,1.930000,1.960000,1.930000,1.935000,1.859931,60585
2016-05-20,1.940000,1.950000,1.930000,1.950000,1.874350,15280
2016-05-23,1.950000,1.960000,1.930000,1.950000,1.874350,17386
2016-05-24,1.930000,1.940000,1.920000,1.925000,1.850320,29119
2016-05-25,1.940000,1.967500,1.940000,1.960000,1.883962,77727
2016-05-26,1.960000,1.960000,1.930000,1.930000,1.855126,78375
2016-05-27,2.070000,2.280000,2.070000,2.210000,2.124263,4112122
2016-05-30,2.330000,2.450000,2.300000,2.360000,2.268444,602272
2016-05-31,2.380000,2.380000,2.280000,2.300000,2.210772,253446
2016-06-01,2.310000,2.350000,2.230000,2.280000,2.191547,589769
2016-06-02,2.300000,2.410000,2.230000,2.350000,2.258832,645448
2016-06-03,2.390000,2.405000,2.320000,2.320000,2.229995,116449
2016-06-06,2.320000,2.390000,2.320000,2.340000,2.249219,187237
