Date,Open,High,Low,Close,Adj Close,Volume
2016-04-11,3.410000,3.890000,3.410000,3.890000,3.855148,3373476
2016-04-12,4.000000,4.050000,3.740000,3.840000,3.805595,752563
2016-04-13,4.050000,4.150000,4.040000,4.050000,4.013713,2138748
2016-04-14,4.090000,4.100000,4.020000,4.030000,3.993894,771655
2016-04-15,4.040000,4.050000,4.010000,4.010000,3.974073,243624
2016-04-18,4.030000,4.050000,3.900000,3.900000,3.865058,748362
2016-04-19,3.990000,4.000000,3.870000,3.950000,3.914610,271552
2016-04-20,4.000000,4.030000,3.950000,3.950000,3.914610,169215
2016-04-21,4.000000,4.040000,3.980000,4.040000,4.003803,207837
2016-04-22,4.010000,4.020000,3.990000,4.000000,3.964162,154987
2016-04-26,4.000000,4.000000,3.980000,4.000000,3.964162,188855
2016-04-27,4.000000,4.020000,3.990000,4.010000,3.974073,114500
2016-04-28,4.010000,4.020000,4.000000,4.020000,3.983982,140712
2016-04-29,4.020000,4.080000,4.010000,4.040000,4.003803,147110
2016-05-02,4.080000,4.100000,4.050000,4.100000,4.063265,248448
2016-05-03,4.200000,4.350000,4.150000,4.250000,4.211921,129435
2016-05-04,4.250000,4.300000,4.210000,4.300000,4.261473,81987
2016-05-05,4.300000,4.360000,4.270000,4.300000,4.261473,78140
2016-05-06,4.350000,4.380000,4.240000,4.370000,4.330846,136896
2016-05-09,4.390000,4.570000,4.370000,4.560000,4.519144,126378
2016-05-10,4.590000,5.050000,4.590000,4.730000,4.687621,284422
2016-05-11,4.840000,4.950000,4.750000,4.770000,4.727263,480412
2016-05-12,4.770000,4.770000,4.650000,4.710000,4.667801,238759
2016-05-13,4.720000,4.720000,4.550000,4.590000,4.548875,141771
2016-05-16,4.590000,4.600000,4.500000,4.500000,4.459682,175985
2016-05-17,4.550000,4.550000,4.260000,4.290000,4.251564,199546
2016-05-18,4.410000,4.600000,4.410000,4.550000,4.509234,236764
2016-05-19,4.610000,4.660000,4.550000,4.580000,4.538965,308198
2016-05-20,4.660000,4.660000,4.490000,4.500000,4.459682,158237
2016-05-23,4.550000,4.550000,4.400000,4.450000,4.410130,1011892
2016-05-24,4.450000,4.450000,4.360000,4.400000,4.360579,556069
2016-05-25,4.400000,4.450000,4.340000,4.380000,4.340757,240727
2016-05-26,4.380000,4.400000,4.360000,4.400000,4.360579,82081
2016-05-27,4.400000,4.450000,4.310000,4.350000,4.311026,104502
2016-05-30,4.400000,4.400000,4.300000,4.350000,4.311026,115770
2016-05-31,4.360000,4.390000,4.300000,4.370000,4.330846,17004
2016-06-01,4.390000,4.400000,4.380000,4.380000,4.340757,177735
2016-06-02,4.400000,4.450000,4.390000,4.390000,4.350667,11855
2016-06-03,4.450000,4.450000,4.390000,4.400000,4.360579,50560
2016-06-06,4.450000,4.450000,4.390000,4.410000,4.370488,14957
2016-06-07,4.400000,4.410000,4.310000,4.360000,4.320936,118403
2016-06-08,4.400000,4.400000,4.330000,4.360000,4.320936,45895
2016-06-09,4.400000,4.400000,4.360000,4.380000,4.340757,19898
2016-06-10,4.400000,4.400000,4.290000,4.360000,4.320936,123270
2016-06-14,4.350000,4.360000,4.250000,4.270000,4.231742,110578
2016-06-15,4.300000,4.310000,4.230000,4.270000,4.231742,137159
2016-06-16,4.240000,4.250000,4.110000,4.140000,4.102907,150949
2016-06-17,4.150000,4.150000,4.050000,4.090000,4.053356,248887
2016-06-20,4.100000,4.200000,4.100000,4.180000,4.142549,65927
2016-06-21,4.200000,4.255000,4.100000,4.180000,4.142549,75415
2016-06-22,4.250000,4.250000,4.190000,4.200000,4.162370,427854
2016-06-23,4.190000,4.450000,4.190000,4.450000,4.410130,123514
2016-06-24,4.400000,4.470000,4.350000,4.440000,4.400219,128106
2016-06-27,4.400000,4.400000,4.290000,4.400000,4.360579,85317
2016-06-28,4.400000,4.400000,4.230000,4.320000,4.281294,107744
2016-06-29,4.320000,4.400000,4.200000,4.400000,4.360579,78865
2016-06-30,4.400000,4.450000,4.340000,4.430000,4.390308,95654
2016-07-01,4.430000,4.600000,4.360000,4.540000,4.499324,141066
2016-07-04,4.600000,4.700000,4.560000,4.700000,4.657890,330582
2016-07-05,4.700000,4.820000,4.680000,4.800000,4.756994,506224
2016-07-06,4.800000,4.950000,4.720000,4.900000,4.856098,92846
2016-07-07,4.950000,4.960000,4.820000,4.850000,4.806546,559762
2016-07-08,4.830000,4.890000,4.820000,4.850000,4.806546,166304
2016-07-11,4.870000,4.950000,4.830000,4.940000,4.895740,305898
2016-07-12,4.950000,5.180000,4.940000,5.140000,5.093947,248290
2016-07-13,5.140000,5.200000,4.990000,5.160000,5.113769,126643
2016-07-14,5.160000,5.500000,5.160000,5.330000,5.282246,248324
2016-07-15,5.300000,5.320000,5.050000,5.070000,5.024575,169722
2016-07-18,5.100000,5.350000,5.100000,5.120000,5.074127,66436
2016-07-19,5.120000,5.290000,5.120000,5.150000,5.103858,81842
2016-07-20,5.150000,5.450000,5.150000,5.410000,5.361528,517786
2016-07-21,5.450000,5.610000,5.360000,5.370000,5.321887,92599
2016-07-22,5.350000,5.490000,5.200000,5.420000,5.371439,102640
2016-07-25,5.400000,5.450000,5.280000,5.360000,5.311977,104026
2016-07-26,5.300000,5.400000,5.280000,5.330000,5.282246,41581
2016-07-27,5.350000,5.350000,5.260000,5.280000,5.232693,36399
2016-07-28,5.300000,5.320000,5.260000,5.280000,5.232693,380842
2016-07-29,5.290000,5.320000,5.170000,5.300000,5.252514,74905
2016-08-01,5.350000,5.350000,5.250000,5.280000,5.232693,57171
2016-08-02,5.310000,5.350000,5.210000,5.230000,5.183141,362461
2016-08-03,5.200000,5.200000,5.080000,5.090000,5.044396,69319
2016-08-04,5.120000,5.240000,5.120000,5.190000,5.143499,32882
2016-08-05,5.150000,5.210000,5.100000,5.120000,5.074127,81437
2016-08-08,5.140000,5.250000,5.110000,5.150000,5.103858,81463
2016-08-09,5.180000,5.300000,5.125000,5.200000,5.153409,130239
2016-08-10,5.200000,5.200000,5.060000,5.110000,5.064217,99273
2016-08-11,5.090000,5.090000,5.030000,5.050000,5.004755,201548
2016-08-12,5.040000,5.150000,5.010000,5.040000,4.994843,191416
2016-08-15,5.010000,5.050000,4.750000,4.880000,4.836278,179359
2016-08-16,4.880000,5.020000,4.570000,5.000000,4.955202,106727
2016-08-17,5.020000,5.030000,4.860000,4.910000,4.866009,23640
2016-08-18,5.000000,5.000000,4.930000,4.940000,4.895740,52142
2016-08-19,4.920000,5.100000,4.900000,5.000000,4.955202,116485
2016-08-22,5.000000,5.020000,4.900000,4.930000,4.885829,38798
2016-08-23,4.930000,5.000000,4.890000,5.000000,4.955202,59059
2016-08-24,5.350000,5.430000,5.130000,5.150000,5.103858,272604
2016-08-25,5.210000,5.250000,5.050000,5.100000,5.054306,137707
2016-08-26,5.200000,5.350000,5.120000,5.300000,5.252514,187102
2016-08-29,5.250000,5.290000,5.235000,5.250000,5.202961,130269
2016-08-30,5.300000,5.350000,5.260000,5.300000,5.252514,172879
2016-08-31,5.300000,5.300000,5.240000,5.250000,5.202961,111525
