Date,Open,High,Low,Close,Volume
28/02/2001,5.34,5.35,5.3,5.35,88426
01/03/2001,5.35,5.45,5.35,5.45,38465
02/03/2001,5.45,5.45,5.45,5.45,9556
05/03/2001,5.45,5.45,5.45,5.45,8694
06/03/2001,5.45,5.55,5.45,5.5,20225
07/03/2001,5.5,5.55,5.5,5.5,17790
08/03/2001,5.6,6,5.6,6,8106
09/03/2001,5.806,5.88,5.7,5.7,8360
12/03/2001,5.6,5.6,5.6,5.6,705
13/03/2001,5.6,5.7,5.6,5.7,9487
14/03/2001,5.7,5.8,5.7,5.8,8437
15/03/2001,5.75,5.75,5.7,5.7,6000
16/03/2001,5.7,5.7,5.55,5.6,6669
19/03/2001,5.67,5.7,5.67,5.7,5025
20/03/2001,5.7,5.8,5.65,5.65,9257
21/03/2001,5.65,5.65,5.55,5.6,5800
22/03/2001,5.65,5.65,5.5,5.6,7341
23/03/2001,5.5,5.5,5.45,5.45,2590
26/03/2001,5.4,5.5,5.4,5.5,4200
27/03/2001,5.5,5.5,5.5,5.5,6500
28/03/2001,5.6,5.6,5.5,5.6,9280
29/03/2001,5.6,5.6,5.5,5.5,10312
30/03/2001,5.5,5.5,5.5,5.5,5000
02/04/2001,5.5,5.5,5.5,5.5,0
03/04/2001,5.5,5.5,5.35,5.35,888
04/04/2001,5.35,5.35,5.35,5.35,0
05/04/2001,5.6,5.6,5.4,5.4,390
06/04/2001,5.4,5.4,5.4,5.4,2216
09/04/2001,5.3,5.4,5.3,5.4,1925
10/04/2001,5.4,5.4,5.3,5.3,3287
11/04/2001,5.3,5.3,5.3,5.3,3000
12/04/2001,5.29,5.32,5.29,5.29,7000
17/04/2001,5.3,5.3,5.25,5.25,9540
18/04/2001,5.25,5.27,5.25,5.27,3913
19/04/2001,5.275,5.3,5.26,5.3,7514
20/04/2001,5.3,5.4,5.3,5.4,3270
23/04/2001,5.6,5.6,5.6,5.6,1130
24/04/2001,5.6,5.6,5.6,5.6,1690
26/04/2001,5.59,5.59,5.59,5.59,5000
27/04/2001,5.57,5.57,5.57,5.57,1225
30/04/2001,5.46,5.46,5.4,5.4,7800
01/05/2001,5.38,5.38,5.37,5.37,2937
02/05/2001,5.37,5.37,5.34,5.34,4200
03/05/2001,5.34,5.34,5.27,5.27,8340
04/05/2001,5.3,5.32,5.3,5.32,58283
07/05/2001,5.32,5.4,5.32,5.4,3500
08/05/2001,5.4,5.4,5.36,5.36,7375
09/05/2001,5.377,5.5,5.377,5.45,15850
10/05/2001,5.55,5.83,5.55,5.83,22539
11/05/2001,5.838,5.838,5.75,5.75,2500
14/05/2001,5.75,5.75,5.75,5.75,0
15/05/2001,5.75,5.8,5.75,5.8,52500
16/05/2001,5.804,5.804,5.8,5.8,7600
17/05/2001,5.82,5.82,5.8,5.8,1400
18/05/2001,5.8,5.8,5.8,5.8,0
21/05/2001,5.8,5.95,5.8,5.85,3150
22/05/2001,5.843,5.843,5.8,5.8,4500
23/05/2001,5.841,5.841,5.75,5.75,14895
24/05/2001,5.75,5.75,5.73,5.73,9542
25/05/2001,5.73,5.73,5.7,5.72,13900
28/05/2001,5.75,5.75,5.75,5.75,6713
29/05/2001,5.75,5.75,5.75,5.75,550
30/05/2001,5.7,5.75,5.7,5.75,14558
31/05/2001,5.65,5.7,5.65,5.7,4000
01/06/2001,5.65,5.65,5.6,5.65,54451
04/06/2001,5.6,5.6,5.6,5.6,10590
05/06/2001,5.56,5.56,5.5,5.5,5485
06/06/2001,5.53,5.53,5.5,5.5,3880
07/06/2001,5.5,5.53,5.5,5.5,9700
08/06/2001,5.5,5.5,5.5,5.5,5700
12/06/2001,5.5,5.51,5.5,5.5,8500
13/06/2001,5.52,5.6,5.52,5.6,7430
14/06/2001,5.6,5.7,5.6,5.66,8983
15/06/2001,5.66,5.66,5.66,5.66,0
18/06/2001,5.71,5.8,5.7,5.8,30696
19/06/2001,5.8,5.8,5.77,5.8,5993
20/06/2001,5.79,5.79,5.7,5.7,7900
21/06/2001,5.75,5.79,5.64,5.64,18430
22/06/2001,5.64,5.7,5.6,5.6,12754
25/06/2001,5.6,5.7,5.6,5.7,21166
26/06/2001,5.7,5.75,5.7,5.75,2020
27/06/2001,5.67,5.67,5.6,5.6,10500
28/06/2001,5.65,5.65,5.65,5.65,500
29/06/2001,5.702,5.85,5.7,5.85,71186
02/07/2001,5.94,6.25,5.94,6,11660
03/07/2001,6.05,6.05,6,6,10000
04/07/2001,6.155,6.22,6.155,6.22,9622
05/07/2001,6.22,6.25,6.22,6.25,19600
06/07/2001,6.3,6.3,6.26,6.26,4000
09/07/2001,6.3,6.3,6.21,6.23,29500
10/07/2001,6.29,6.99,6.29,6.75,20000
11/07/2001,6.796,7.2,6.796,6.85,25880
12/07/2001,7,7,6.95,6.95,52895
13/07/2001,6.95,6.95,6.9,6.93,91121
16/07/2001,6.93,6.93,6.88,6.9,130470
17/07/2001,6.9,6.9,6.85,6.88,125237
18/07/2001,6.857,6.88,6.82,6.82,69311
19/07/2001,6.8,6.8,6.56,6.71,38700
20/07/2001,6.7,6.8,6.7,6.79,17102
23/07/2001,6.8,6.85,6.79,6.85,21849
24/07/2001,6.85,6.9,6.85,6.9,5110
25/07/2001,6.85,6.85,6.8,6.85,4450
26/07/2001,6.8,6.8,6.7,6.7,16550
27/07/2001,6.7,6.7,6.7,6.7,300
30/07/2001,6.7,6.72,6.7,6.72,9127
31/07/2001,6.75,6.75,6.74,6.74,4536
01/08/2001,6.74,6.8,6.74,6.8,28065
02/08/2001,6.8,6.8,6.75,6.8,17286
03/08/2001,6.8,6.85,6.74,6.74,22143
06/08/2001,6.85,6.85,6.85,6.85,9630
07/08/2001,6.85,6.85,6.77,6.77,12190
08/08/2001,6.77,6.85,6.77,6.85,40546
09/08/2001,6.85,6.86,6.85,6.86,2967
10/08/2001,6.86,6.86,6.86,6.86,30249
13/08/2001,6.86,6.86,6.85,6.86,20700
14/08/2001,6.863,6.863,6.85,6.85,2610
15/08/2001,6.85,6.85,6.81,6.81,9700
16/08/2001,6.81,6.859,6.81,6.859,13100
17/08/2001,6.81,6.85,6.76,6.85,9800
20/08/2001,6.85,6.85,6.7,6.7,15990
21/08/2001,6.7,6.81,6.7,6.75,37610
22/08/2001,6.75,6.81,6.73,6.81,116800
23/08/2001,6.85,7.1,6.85,7,58950
24/08/2001,7.1,7.1,6.95,7,20856
27/08/2001,7.05,7.15,7.05,7.15,8500
28/08/2001,7.15,7.5,7.15,7.4,10520
29/08/2001,7.507,7.75,7.507,7.7,8550
30/08/2001,7.7,7.7,7.3,7.3,9035
31/08/2001,7.3,7.3,7.1,7.2,13375
03/09/2001,7.18,7.18,7.16,7.16,11100
04/09/2001,7.13,7.13,7.05,7.05,2450
05/09/2001,7.19,7.45,7.19,7.25,12129
06/09/2001,7.4,7.4,7.05,7.05,4050
07/09/2001,7.1,7.1,7.05,7.05,3424
10/09/2001,7.05,7.05,7.01,7.01,8246
