Date,Open,High,Low,Close,Volume
28/02/2001,0.85,0.85,0.81,0.82,438850
01/03/2001,0.84,0.84,0.82,0.83,368749
02/03/2001,0.85,0.9,0.82,0.85,128860
05/03/2001,0.85,0.96,0.85,0.86,915302
06/03/2001,0.87,0.87,0.86,0.87,868357
07/03/2001,0.87,0.92,0.87,0.91,570069
08/03/2001,0.93,0.93,0.9,0.92,145833
09/03/2001,0.91,0.91,0.4,0.4,2921443
12/03/2001,0.44,0.445,0.28,0.28,7710208
13/03/2001,0.27,0.35,0.265,0.33,6858633
14/03/2001,0.355,0.365,0.3,0.3,5263021
15/03/2001,0.3,0.3,0.27,0.295,2989033
16/03/2001,0.295,0.3,0.285,0.29,807329
19/03/2001,0.3,0.3,0.27,0.275,535840
20/03/2001,0.28,0.28,0.26,0.26,463564
21/03/2001,0.265,0.265,0.225,0.23,1453840
22/03/2001,0.22,0.245,0.21,0.245,452041
23/03/2001,0.25,0.28,0.25,0.255,724321
26/03/2001,0.276,0.276,0.255,0.265,615987
27/03/2001,0.272,0.272,0.25,0.25,425244
28/03/2001,0.255,0.27,0.25,0.25,108272
29/03/2001,0.26,0.26,0.24,0.25,191014
30/03/2001,0.24,0.255,0.235,0.24,1964170
02/04/2001,0.245,0.25,0.215,0.215,302974
03/04/2001,0.23,0.23,0.205,0.215,184819
04/04/2001,0.215,0.215,0.18,0.2,455695
05/04/2001,0.2,0.2,0.17,0.175,1038611
06/04/2001,0.19,0.23,0.165,0.2,18833620
09/04/2001,0.22,0.22,0.21,0.215,649635
10/04/2001,0.21,0.21,0.195,0.2,293701
11/04/2001,0.2,0.2,0.185,0.195,495811
12/04/2001,0.2,0.2,0.195,0.2,168447
17/04/2001,0.205,0.205,0.19,0.195,299926
18/04/2001,0.21,0.225,0.2,0.205,1577769
19/04/2001,0.225,0.26,0.225,0.255,1188333
20/04/2001,0.265,0.28,0.25,0.25,2746007
23/04/2001,0.266,0.285,0.253,0.253,970837
24/04/2001,0.25,0.255,0.235,0.24,909717
26/04/2001,0.225,0.225,0.2,0.2,1137758
27/04/2001,0.225,0.245,0.22,0.24,690671
30/04/2001,0.265,0.31,0.26,0.3,13279830
01/05/2001,0.34,0.35,0.305,0.32,2685757
02/05/2001,0.335,0.385,0.335,0.385,3521249
03/05/2001,0.385,0.39,0.35,0.355,908032
04/05/2001,0.35,0.355,0.33,0.34,1093806
07/05/2001,0.34,0.35,0.33,0.33,576083
08/05/2001,0.335,0.335,0.285,0.32,969030
09/05/2001,0.3,0.32,0.3,0.3,301643
10/05/2001,0.296,0.305,0.285,0.29,687571
11/05/2001,0.285,0.3,0.27,0.285,382880
14/05/2001,0.295,0.3,0.27,0.27,356049
15/05/2001,0.28,0.295,0.28,0.285,219351
16/05/2001,0.285,0.32,0.285,0.315,1086533
17/05/2001,0.325,0.325,0.305,0.315,453834
18/05/2001,0.31,0.31,0.3,0.305,181270
21/05/2001,0.31,0.31,0.28,0.29,290032
22/05/2001,0.295,0.31,0.285,0.289,299858
23/05/2001,0.285,0.3,0.28,0.283,269978
24/05/2001,0.28,0.29,0.27,0.28,187745
25/05/2001,0.285,0.285,0.28,0.28,129534
28/05/2001,0.28,0.28,0.27,0.27,449929
29/05/2001,0.27,0.27,0.25,0.255,160366
30/05/2001,0.254,0.255,0.2,0.22,890186
31/05/2001,0.225,0.24,0.22,0.22,584194
01/06/2001,0.22,0.225,0.215,0.215,307566
04/06/2001,0.205,0.205,0.185,0.19,484768
05/06/2001,0.18,0.18,0.15,0.17,746493
06/06/2001,0.17,0.17,0.145,0.16,900248
07/06/2001,0.16,0.16,0.15,0.16,339308
08/06/2001,0.15,0.175,0.15,0.17,207413
12/06/2001,0.17,0.175,0.16,0.165,226532
13/06/2001,0.16,0.165,0.15,0.155,402040
14/06/2001,0.155,0.158,0.15,0.158,500861
15/06/2001,0.151,0.151,0.12,0.125,1363743
18/06/2001,0.13,0.135,0.12,0.13,651444
19/06/2001,0.13,0.15,0.13,0.14,564439
20/06/2001,0.145,0.145,0.125,0.145,1585149
21/06/2001,0.145,0.155,0.135,0.135,780469
22/06/2001,0.135,0.14,0.125,0.125,947172
25/06/2001,0.125,0.135,0.12,0.125,483358
26/06/2001,0.115,0.12,0.105,0.105,1169181
27/06/2001,0.105,0.11,0.105,0.105,851829
28/06/2001,0.113,0.113,0.1,0.1,834068
29/06/2001,0.103,0.15,0.103,0.139,2826896
02/07/2001,0.15,0.16,0.13,0.13,990082
03/07/2001,0.14,0.15,0.14,0.145,606496
04/07/2001,0.14,0.145,0.135,0.14,453407
05/07/2001,0.135,0.135,0.13,0.13,607693
06/07/2001,0.13,0.13,0.12,0.13,801511
09/07/2001,0.125,0.13,0.125,0.13,402885
10/07/2001,0.125,0.13,0.125,0.125,99245
11/07/2001,0.125,0.125,0.12,0.12,213303
12/07/2001,0.12,0.12,0.115,0.115,36420
13/07/2001,0.13,0.13,0.12,0.12,260793
16/07/2001,0.125,0.13,0.125,0.13,147572
17/07/2001,0.13,0.13,0.125,0.13,184000
18/07/2001,0.125,0.125,0.115,0.115,359501
19/07/2001,0.125,0.125,0.105,0.105,627384
20/07/2001,0.115,0.115,0.095,0.095,3028827
23/07/2001,0.11,0.11,0.1,0.11,518842
24/07/2001,0.11,0.11,0.1,0.1,324050
25/07/2001,0.1,0.1,0.1,0.1,146300
26/07/2001,0.1,0.1,0.094,0.094,198500
27/07/2001,0.093,0.1,0.09,0.09,43981
30/07/2001,0.091,0.091,0.088,0.088,115116
31/07/2001,0.086,0.086,0.072,0.072,383492
01/08/2001,0.075,0.086,0.075,0.086,179832
02/08/2001,0.088,0.088,0.081,0.085,179132
03/08/2001,0.09,0.09,0.082,0.083,349000
