Date,Open,High,Low,Close,Volume
28/02/2001,28.832,29.1,28.8,29,473205
01/03/2001,28.9,29.2,28.9,29.08,442844
02/03/2001,29,29,28.5,28.69,300969
05/03/2001,28.8,28.8,28.4,28.6,135734
06/03/2001,28.513,28.9,28.46,28.8,122560
07/03/2001,29,29.26,29,29.01,226589
08/03/2001,29,29.21,28.95,28.96,296456
09/03/2001,28.95,28.95,28.29,28.3,64628
12/03/2001,28,28.25,27.91,28,167703
13/03/2001,27.8,27.8,27.45,27.5,224436
14/03/2001,27.75,27.75,27.53,27.55,477895
15/03/2001,27.298,27.298,26.1,27.18,506235
16/03/2001,27.1,28.12,27.1,28.12,235263
19/03/2001,28,28.05,27.55,28,55406
20/03/2001,28.1,28.1,27.7,27.7,109395
21/03/2001,27.55,27.71,27.5,27.6,214889
22/03/2001,27.5,27.5,27.15,27.25,251027
23/03/2001,26.953,26.953,26.2,26.5,643306
26/03/2001,26.5,27.17,26.5,27.11,232543
27/03/2001,27.257,27.85,27.257,27.708,245850
28/03/2001,27.9,27.9,27.6,27.79,453670
29/03/2001,27.5,28,27.26,27.55,303031
30/03/2001,27.6,27.9,27.6,27.625,381219
02/04/2001,27.779,27.9,27.76,27.769,174471
03/04/2001,27.8,28.3,27.76,28.08,306448
04/04/2001,28.08,29,27.9,28.9,210906
05/04/2001,28.868,29,28.86,28.9,275680
06/04/2001,29,29,28.5,28.8,182181
09/04/2001,29,29,28.8,28.92,140461
10/04/2001,28.856,29.17,28.856,29.02,469744
11/04/2001,29.104,29.104,28.8,28.9,405071
12/04/2001,28.8,28.8,28.63,28.7,186426
17/04/2001,28.7,28.7,28.08,28.23,74857
18/04/2001,28.309,28.4,28.1,28.1,149629
19/04/2001,28.377,29.2,28.377,29.14,387018
20/04/2001,29,29.3,28.8,28.874,96179
23/04/2001,29.09,29.12,28.6,28.84,105945
24/04/2001,28.8,29.02,28.6,28.8,102866
26/04/2001,28.807,29,28.7,28.75,199378
27/04/2001,28.75,29.11,28.75,29.11,152445
30/04/2001,29.2,29.93,29.2,29.84,343066
01/05/2001,29.761,30.1,29.7,29.9,324057
02/05/2001,30,30.74,30,30.15,234383
03/05/2001,30.05,30.28,30,30,240393
04/05/2001,29.957,30.6,29.95,30.6,274191
07/05/2001,30.708,31.21,30.708,31,421207
08/05/2001,31,31,30.52,30.83,199113
09/05/2001,30.9,31,30.87,31,458421
10/05/2001,30.99,31.4,30.98,31,226896
11/05/2001,31,31.42,31,31.169,735117
14/05/2001,31.158,31.22,30.85,31,306959
15/05/2001,31.035,31.15,30.9,31.15,298100
16/05/2001,31.15,31.46,31.15,31.33,284455
17/05/2001,31.5,32.3,31.5,32.3,559481
18/05/2001,32.3,32.3,31.3,31.4,497716
21/05/2001,31.4,31.65,31.4,31.491,185537
22/05/2001,31.5,31.5,31.07,31.2,168687
23/05/2001,31.205,31.89,31.205,31.8,537248
24/05/2001,31.709,31.8,31.35,31.7,710472
25/05/2001,31.6,31.8,30.85,31.49,501416
28/05/2001,31.5,32,31.5,31.95,827950
29/05/2001,32,32.04,31.9,32,644230
30/05/2001,32,32.4,32,32.2,236107
31/05/2001,32.211,32.78,32,32.6,393474
01/06/2001,32.616,33.3,32.616,32.97,723603
04/06/2001,33.092,33.092,32.33,32.9,773778
05/06/2001,32.993,33.35,32.8,33.268,498986
06/06/2001,33.5,33.76,33.5,33.59,485051
07/06/2001,33.6,34.5,33.55,33.978,493485
08/06/2001,34.058,34.18,33.6,33.6,494221
12/06/2001,33.482,33.5,32.5,33.38,600688
13/06/2001,33.371,34.7,33.37,34.65,323342
14/06/2001,34.7,35.01,34.6,34.9,613300
15/06/2001,34.9,34.959,34.4,34.959,619273
18/06/2001,34.795,34.9,34.6,34.7,261000
19/06/2001,34.85,35.95,34.8,35,678473
20/06/2001,35.147,35.6,35.1,35.52,450349
21/06/2001,35.532,36.6,35.532,36.002,775201
22/06/2001,36,36,35.4,35.62,971306
25/06/2001,35.638,36.4,35.638,36.329,419298
26/06/2001,36.216,36.62,35.8,35.957,787623
27/06/2001,36,36,35.3,35.3,434251
28/06/2001,35.273,35.66,35.1,35.6,267021
29/06/2001,35.5,36.799,35.5,36.799,805975
02/07/2001,36.107,36.107,35.65,35.7,458129
03/07/2001,35.801,36.45,35.8,36.15,294201
04/07/2001,36.15,36.15,35.68,35.901,183946
05/07/2001,35.841,35.841,34.75,35.29,322378
06/07/2001,35,35.83,34.8,35.75,242392
09/07/2001,35.4,36.03,35.24,35.865,305410
10/07/2001,36.012,36.1,35.75,36.08,499549
11/07/2001,35.9,36.4,35.8,36.24,367215
12/07/2001,36.5,37.01,36.44,36.95,432766
13/07/2001,37.078,37.3,37,37,383903
16/07/2001,37,37.5,37,37.45,542182
17/07/2001,37.442,37.69,37.31,37.35,299394
18/07/2001,37.39,38.3,37.35,38.021,414564
19/07/2001,38.053,39.18,38.053,38.65,485089
20/07/2001,38.75,39.35,38.14,38.692,353790
23/07/2001,39,39,38.15,38.24,276986
24/07/2001,37.938,37.938,37,37.596,469013
25/07/2001,37.292,38,37.12,37.88,591279
26/07/2001,38.077,38.2,36.06,36.06,409071
27/07/2001,35.884,35.884,35.01,35.12,1335726
30/07/2001,35.367,35.65,35.3,35.5,512408
31/07/2001,35.566,36.65,35.566,36.051,779311
01/08/2001,36.194,36.2,35.15,35.3,573341
02/08/2001,35.587,36.5,35.02,36.25,825347
03/08/2001,36.2,36.5,36.15,36.35,770115
06/08/2001,36.35,36.79,36.35,36.72,121836
07/08/2001,36.58,36.95,36.55,36.785,642900
08/08/2001,36.74,36.86,36.67,36.8,285890
09/08/2001,36.793,37,36.519,36.519,396409
10/08/2001,36.499,36.65,36.35,36.55,233268
13/08/2001,36.55,36.95,36.53,36.598,219072
14/08/2001,36.609,36.8,36.609,36.74,321285
15/08/2001,36.8,36.95,36.1,36.1,490591
16/08/2001,36.04,36.11,35.7,36.04,497713
17/08/2001,36.2,36.66,36.15,36.6,441025
20/08/2001,36.5,36.5,36.15,36.15,259649
21/08/2001,36.2,36.2,35.8,35.95,181872
22/08/2001,35.995,36.1,35.52,36.06,200558
23/08/2001,36.259,36.59,36.2,36.4,123929
24/08/2001,36.234,37.28,36.234,37.22,430030
27/08/2001,37.25,39,37.25,39,745587
28/08/2001,39,39.2,38.78,39.11,429928
29/08/2001,39.247,39.83,39.247,39.62,413639
30/08/2001,39.602,39.602,39.37,39.45,452490
31/08/2001,39.362,39.362,38.6,38.718,1384277
03/09/2001,38.707,39.42,38.707,39.38,123544
04/09/2001,39.51,40.4,39.51,40.1,437529
05/09/2001,40.508,41.03,40.508,40.9,681574
06/09/2001,40.84,41,40.5,40.5,824127
07/09/2001,40.197,40.3,39.69,39.7,849455
10/09/2001,39.488,39.488,38.5,38.85,665709
11/09/2001,38.85,38.85,38.85,38.85,0
12/09/2001,38.85,38.85,38.85,38.85,0
13/09/2001,35.95,37.61,35.95,36.619,926340
14/09/2001,36.7,36.7,34.86,35.418,526457
17/09/2001,34.9,34.9,31.94,31.95,847130
18/09/2001,33,33.96,32.7,33.803,1101020
19/09/2001,34,34.6,33.75,34.2,1049429
20/09/2001,34.157,34.157,33.75,34.083,820471
21/09/2001,32.84,34,32.6,33.992,615514
24/09/2001,34,34,32.5,33.3,394486
25/09/2001,34.292,34.292,33.85,34.229,700715
26/09/2001,34.348,35.33,34.348,35.33,532373
27/09/2001,35.485,36.17,35.172,35.172,819823
28/09/2001,35.51,36.1,35.51,36,1143400
01/10/2001,36.3,37.3,36.3,37,499151
02/10/2001,37.083,37.9,37.083,37.867,689658
03/10/2001,38,38.3,37.5,37.79,756458
04/10/2001,38.15,38.15,37.5,37.8,320356
05/10/2001,37.974,38.36,37.87,38.205,370903
08/10/2001,38.137,38.35,38.08,38.3,459986
09/10/2001,38.194,39.01,38.194,38.509,710696
10/10/2001,38.45,38.7,37.58,37.843,447023
11/10/2001,38.3,38.55,38.03,38.5,518622
12/10/2001,39.009,39.11,37.82,38.048,367599
15/10/2001,37.908,37.908,37.21,37.405,402545
16/10/2001,37.5,37.5,36.8,36.81,365861
17/10/2001,37.15,37.49,37,37.11,625321
18/10/2001,36.901,37.15,36.85,36.943,392399
19/10/2001,36.911,37.12,36.85,36.9,555759
22/10/2001,37,37.1,36.6,36.6,236520
23/10/2001,36.7,36.75,36.1,36.346,551277
24/10/2001,36.61,37.4,36.25,37.25,935245
25/10/2001,37.5,38,37.25,37.545,420309
26/10/2001,37.718,38.3,37.7,37.96,371465
29/10/2001,38.188,38.4,37.92,37.95,144231
30/10/2001,37.811,37.99,37.1,37.15,433065
31/10/2001,37.5,37.97,37.13,37.854,536436
01/11/2001,37.789,37.84,37.4,37.68,270472
02/11/2001,37.7,37.85,37.2,37.444,361481
05/11/2001,37.6,37.69,36.7,37.208,222250
06/11/2001,37.19,38.2,37.19,38,316894
07/11/2001,38.05,38.76,38.05,38.36,368893
08/11/2001,38.411,39.12,38.411,38.75,295123
09/11/2001,38.992,39,38,38.35,157205
12/11/2001,38.4,38.44,37.9,38.14,238179
13/11/2001,37.99,38.12,37.8,38,276303
14/11/2001,38.492,38.492,37.65,37.78,404815
15/11/2001,37.992,37.992,37.25,37.41,904982
16/11/2001,37,37,36.5,36.839,1016320
19/11/2001,37,37.526,36.95,37.526,379078
20/11/2001,37.508,38,37.508,37.88,458931
21/11/2001,37.9,38,37.6,37.85,272882
22/11/2001,37.85,37.96,37.7,37.833,221023
23/11/2001,37.81,37.81,37.4,37.445,398937
26/11/2001,37.6,37.78,37.34,37.35,589341
27/11/2001,37.29,37.29,36.78,36.78,991179
28/11/2001,36.78,36.78,36.4,36.5,574850
29/11/2001,36.421,36.5,35.98,35.98,907928
30/11/2001,36.356,36.6,35,35,3451340
03/12/2001,35.607,35.78,35.22,35.502,1082622
04/12/2001,35.591,36.13,35.41,35.95,540772
05/12/2001,36.036,36.4,36.036,36.36,394837
06/12/2001,36.533,36.533,35.63,35.77,574512
07/12/2001,35.75,35.93,35.56,35.86,509330
10/12/2001,35.778,35.8,35.25,35.45,860601
11/12/2001,35.61,35.66,35.5,35.52,484207
12/12/2001,35.7,35.7,34.956,34.956,739060
13/12/2001,35.08,35.15,34.8,35.01,416431
14/12/2001,34.992,35.209,34.84,35.209,732442
17/12/2001,35.35,35.9,35.35,35.8,294317
18/12/2001,35.992,35.992,35.49,35.5,844634
19/12/2001,35.52,35.9,35.25,35.65,681451
20/12/2001,35.508,36.5,35.5,36.41,808918
21/12/2001,36.45,37.28,36.35,36.835,1729063
24/12/2001,36.82,37.2,36.8,37.08,77614
27/12/2001,37.17,37.35,37.04,37.25,126016
28/12/2001,37.366,37.6,37.366,37.45,198655
31/12/2001,37.453,37.75,37.24,37.452,375524
02/01/2002,37.45,37.5,37.3,37.49,105125
03/01/2002,37.5,37.5,37.37,37.491,214425
04/01/2002,37.5,37.5,37.44,37.45,212968
07/01/2002,37.438,37.438,37.1,37.205,242814
08/01/2002,37.06,37.15,36.35,36.4,802577
09/01/2002,36.36,36.45,36.1,36.2,459864
10/01/2002,36.198,36.6,36.198,36.367,1015095
11/01/2002,36.401,36.83,36.4,36.72,171434
14/01/2002,36.75,36.75,36.55,36.58,210145
15/01/2002,36.677,36.72,36.61,36.61,320713
16/01/2002,36.831,37.15,36.65,37.114,415026
17/01/2002,36.95,37.51,36.83,37.07,768480
18/01/2002,37.118,37.2,37,37.13,213522
21/01/2002,37.21,37.5,37.2,37.4,318491
22/01/2002,37.4,37.5,36.99,37.2,423470
23/01/2002,37.2,37.2,36.89,37.04,239017
24/01/2002,37.04,37.04,36.5,36.581,466376
25/01/2002,36.69,36.8,36.43,36.755,206082
29/01/2002,36.75,36.9,36.736,36.736,416275
30/01/2002,36.7,36.7,36.2,36.558,424734
31/01/2002,36.5,37.17,36.35,37.17,505009
01/02/2002,37.14,37.3,36.67,36.719,260356
04/02/2002,36.85,36.95,36.79,36.87,291054
05/02/2002,36.8,36.8,36.4,36.7,470720
06/02/2002,33.415,34,32.66,32.727,5743580
07/02/2002,32.941,32.941,31.1,31.6,2803310
08/02/2002,31.85,32.55,31.85,32.482,1354788
11/02/2002,32.984,32.984,31.9,32.28,1227062
12/02/2002,32.3,32.35,31.95,32,1032751
13/02/2002,32.056,32.06,31.48,31.73,855414
14/02/2002,32,32.05,31.75,31.89,493510
15/02/2002,32.03,32.43,31.95,32.43,1291667
18/02/2002,32.58,32.96,32.5,32.755,840856
