Date,Open,High,Low,Close,Volume
28/02/2001,1.3,1.3,1.3,1.3,61250
01/03/2001,1.3,1.3,1.3,1.3,250
02/03/2001,1.3,1.3,1.3,1.3,0
05/03/2001,1.24,1.24,1.15,1.15,17000
06/03/2001,1.15,1.15,1.15,1.15,9750
07/03/2001,1.16,1.2,1.15,1.2,21000
08/03/2001,1.2,1.2,1.16,1.16,53300
09/03/2001,1.15,1.16,1.15,1.15,17500
12/03/2001,1.15,1.18,1.15,1.18,16850
13/03/2001,1.18,1.18,1.15,1.15,22000
14/03/2001,1.124,1.25,1.124,1.24,20400
15/03/2001,1.2,1.2,1.15,1.2,16000
16/03/2001,1.2,1.24,1.2,1.24,19500
19/03/2001,1.25,1.25,1.2,1.2,5500
20/03/2001,1.2,1.25,1.2,1.25,20000
21/03/2001,1.2,1.25,1.2,1.25,2500
22/03/2001,1.25,1.25,1.15,1.25,10000
23/03/2001,1.15,1.18,1.15,1.18,10500
26/03/2001,1.15,1.15,1.15,1.15,2500
27/03/2001,1.15,1.15,1.13,1.13,25000
28/03/2001,1.13,1.13,1.13,1.13,7001
29/03/2001,1.15,1.15,1.15,1.15,2000
30/03/2001,1.15,1.15,1.15,1.15,0
02/04/2001,1.15,1.15,1.15,1.15,0
03/04/2001,1.15,1.15,1.15,1.15,0
04/04/2001,1.15,1.15,1.15,1.15,0
05/04/2001,1.1,1.12,1.1,1.1,87726
06/04/2001,1.1,1.1,1.1,1.1,0
09/04/2001,1.06,1.08,1.05,1.05,26000
10/04/2001,1,1,1,1,52500
11/04/2001,1,1,1,1,12500
12/04/2001,1,1,1,1,30000
17/04/2001,1,1,1,1,0
18/04/2001,1,1.2,1,1.2,295268
19/04/2001,1.172,1.172,1.1,1.17,5029
20/04/2001,1.17,1.17,1.17,1.17,8500
23/04/2001,1.05,1.08,1.05,1.08,2750
24/04/2001,1,1.08,1,1.08,6449
26/04/2001,1.08,1.3,1.08,1.3,71521
27/04/2001,1.28,1.28,1.25,1.25,22050
30/04/2001,1.2,1.2,1.2,1.2,10000
01/05/2001,1.2,1.2,1.2,1.2,22950
02/05/2001,1.2,1.2,1.2,1.2,3000
03/05/2001,1.22,1.25,1.2,1.25,19000
04/05/2001,1.21,1.21,1.2,1.2,6000
07/05/2001,1.2,1.2,1.2,1.2,2500
08/05/2001,1.21,1.23,1.21,1.21,10500
09/05/2001,1.21,1.21,1.2,1.2,6000
