Date,Open,High,Low,Close,Volume
27/08/2001,33.98,33.99,33.75,33.75,674400
28/08/2001,33.75,33.85,33.73,33.84,47863
29/08/2001,33.72,33.72,33.58,33.58,117161
30/08/2001,33.59,33.59,33.3,33.33,75887
31/08/2001,33.02,33.02,32.83,32.83,135033
03/09/2001,32.74,32.83,32.74,32.83,137500
04/09/2001,32.9,32.96,32.82,32.91,175031
05/09/2001,32.82,32.96,32.75,32.94,404477
06/09/2001,32.86,32.95,32.68,32.7,327849
07/09/2001,32.507,32.507,32.34,32.42,108488
10/09/2001,32.22,32.6,32.21,32.6,147183
11/09/2001,32.62,32.69,32.62,32.69,78022
12/09/2001,31.25,31.46,31.25,31.35,6225
13/09/2001,31.56,31.59,31.36,31.36,20950
14/09/2001,31.39,31.39,31.06,31.22,85650
17/09/2001,30.42,30.47,29.75,29.75,38525
18/09/2001,30.5,30.5,30.26,30.3,38965
19/09/2001,30.3,30.6,30.1,30.6,158640
20/09/2001,30.28,30.33,30,30,44710
21/09/2001,29.453,29.59,29.453,29.55,16400
24/09/2001,29.359,29.39,29.11,29.39,67197
25/09/2001,29.75,29.79,29.66,29.69,158457
26/09/2001,29.89,30.19,29.85,30.1,245774
27/09/2001,30.03,30.22,30,30.22,149000
28/09/2001,30.49,30.75,30.49,30.75,21745
01/10/2001,30.75,30.75,30.75,30.75,0
02/10/2001,31.1,31.61,31.1,31.61,150512
03/10/2001,31.588,31.87,31.43,31.43,161601
04/10/2001,31.63,31.69,31.43,31.58,62153
05/10/2001,31.72,32.01,31.71,32.01,148397
08/10/2001,31.602,31.79,31.602,31.75,76293
09/10/2001,31.66,31.81,31.66,31.73,79506
10/10/2001,31.71,31.76,31.62,31.65,87312
11/10/2001,32.04,32.23,32,32.23,70199
12/10/2001,32.66,32.66,32.49,32.57,26658
15/10/2001,32.31,32.31,32.15,32.25,71891
16/10/2001,32.4,32.45,32.38,32.45,47579
17/10/2001,32.45,32.64,32.43,32.64,73328
18/10/2001,32.3,32.3,32.11,32.22,13191
19/10/2001,32.15,32.21,32,32,67309
22/10/2001,32.1,32.12,32.02,32.04,58853
23/10/2001,32.33,32.43,32.32,32.39,51490
24/10/2001,32.4,32.72,32.38,32.7,101833
25/10/2001,32.69,32.76,32.69,32.75,14000
26/10/2001,33,33.17,32.97,33.08,95322
29/10/2001,33.01,33.01,33.01,33.01,9707
30/10/2001,32.67,32.84,32.67,32.82,2655220
31/10/2001,32.68,32.73,32.68,32.72,4179603
01/11/2001,32.72,32.72,32.72,32.72,0
02/11/2001,32.93,32.93,32.85,32.85,23755
05/11/2001,32.73,32.73,32.6,32.6,81209
06/11/2001,33.01,33.14,33.01,33.14,47387
07/11/2001,33.28,33.28,33,33,570937
08/11/2001,32.88,33.15,32.88,33.07,65000
09/11/2001,33.1,33.13,33.03,33.13,190349
12/11/2001,33.15,33.29,33.15,33.29,34000
13/11/2001,33.14,33.3,33.12,33.3,482928
14/11/2001,33.65,33.74,33.65,33.74,28160
15/11/2001,33.71,33.79,33.66,33.73,60572
16/11/2001,33.68,33.72,33.6,33.72,317241
19/11/2001,33.54,33.7,33.54,33.7,93364
20/11/2001,34.01,34.01,33.88,33.88,276315
21/11/2001,33.76,33.89,33.7,33.7,25900
22/11/2001,33.59,33.59,33.59,33.59,10
23/11/2001,33.75,33.9,33.75,33.9,72500
26/11/2001,33.96,34.09,33.84,33.991,310630
27/11/2001,34.13,34.13,34.03,34.05,162800
28/11/2001,34,34.03,34,34.03,365500
29/11/2001,33.75,33.91,33.75,33.9,727008
30/11/2001,34.13,34.13,33.94,33.94,1414232
03/12/2001,33.66,33.72,33.65,33.65,15680
04/12/2001,33.73,33.75,33.69,33.75,70193
05/12/2001,33.95,33.95,33.86,33.87,665477
06/12/2001,34.16,34.16,34.1,34.12,487265
07/12/2001,34.04,34.26,34.04,34.23,482580
10/12/2001,34,34,33.99,33.99,322978
11/12/2001,33.86,33.96,33.86,33.96,348920
12/12/2001,33.87,33.89,33.61,33.61,155897
13/12/2001,33.64,33.65,33.48,33.48,29804
